Mag,Phase,Band
17.39142444455587,0.0,g
17.394915581449254,0.001,g
17.398441185426837,0.002,g
17.401996571752022,0.003,g
17.40557735325835,0.004,g
17.409179437945657,0.005,g
17.41279902569685,0.006,g
17.416432603954515,0.007,g
17.420076942613733,0.008,g
17.423729087973733,0.009000000000000001,g
17.427386355970995,0.01,g
17.431046324633215,0.011,g
17.43470682588793,0.012,g
17.438365936673943,0.013000000000000001,g
17.442021969539812,0.014,g
17.44567346271965,0.015,g
17.449319169724305,0.016,g
17.452958048533784,0.017,g
17.456589250482523,0.018000000000000002,g
17.460212108829904,0.019,g
17.463826127147012,0.02,g
17.467430967471486,0.021,g
17.471026438419642,0.022,g
17.47461248319913,0.023,g
17.478189167694897,0.024,g
17.48175666847766,0.025,g
17.48531526104882,0.026000000000000002,g
17.48886530816722,0.027,g
17.492407248422627,0.028,g
17.4959415849901,0.029,g
17.499468874737584,0.03,g
17.502989717622338,0.031,g
17.50650474648476,0.032,g
17.510014617208974,0.033,g
17.513519999307782,0.034,g
17.51702156703073,0.035,g
17.52051999086653,0.036000000000000004,g
17.52401592962267,0.037,g
17.52751002299233,0.038,g
17.53100288470143,0.039,g
17.53449509614641,0.04,g
17.537987200654264,0.041,g
17.541479698307292,0.042,g
17.54497304131753,0.043000000000000003,g
17.54846762997672,0.044,g
17.55196380921221,0.045,g
17.55546186567942,0.046,g
17.558962025453884,0.047,g
17.562464452210133,0.048,g
17.565969246002627,0.049,g
17.569476442524973,0.05,g
17.57298601294551,0.051000000000000004,g
17.576497864100727,0.052000000000000005,g
17.58001183928234,0.053,g
17.583527719395782,0.054,g
17.5870452245812,0.055,g
17.590564016161558,0.056,g
17.59408369901924,0.057,g
17.597603824270056,0.058,g
17.601123892276018,0.059000000000000004,g
17.604643355902578,0.06,g
17.60816162402236,0.061,g
17.61167806525995,0.062,g
17.615192011927753,0.063,g
17.61870276405744,0.064,g
17.622209593611913,0.065,g
17.625711748789648,0.066,g
17.629208458326783,0.067,g
17.632698935928424,0.068,g
17.636182384601632,0.069,g
17.639658001067126,0.07,g
17.64312498002524,0.07100000000000001,g
17.646582518416416,0.07200000000000001,g
17.650029819543587,0.073,g
17.653466097109977,0.074,g
17.656890579049648,0.075,g
17.660302511251256,0.076,g
17.663701161093034,0.077,g
17.66708582075428,0.078,g
17.670455810313648,0.079,g
17.673810480652136,0.08,g
17.677149216087287,0.081,g
17.68047143679712,0.082,g
17.683776600928145,0.083,g
17.687064206503912,0.084,g
17.6903337930264,0.085,g
17.693584942876257,0.08600000000000001,g
17.696817282325934,0.08700000000000001,g
17.700030482406156,0.088,g
17.703224259442848,0.089,g
17.706398375376022,0.09,g
17.709552637766514,0.091,g
17.712686899614823,0.092,g
17.715801058907317,0.093,g
17.71889505796289,0.094,g
17.721968882533886,0.095,g
17.725022560696726,0.096,g
17.728056161606442,0.097,g
17.731069793994116,0.098,g
17.734063604562106,0.099,g
17.73703777619691,0.1,g
17.739992526081668,0.101,g
17.74292810363688,0.10200000000000001,g
17.74584478840937,0.10300000000000001,g
17.748742887870762,0.10400000000000001,g
17.75162273512641,0.105,g
17.75448468657304,0.106,g
17.75732911954738,0.107,g
17.760156429928863,0.108,g
17.76296702976971,0.109,g
17.765761344884563,0.11,g
17.7685398125178,0.111,g
17.771302879014808,0.112,g
17.774050997601986,0.113,g
17.77678462613131,0.114,g
17.77950422500339,0.115,g
17.78221025512279,0.116,g
17.78490317598613,0.117,g
17.78758344382708,0.11800000000000001,g
17.79025150992515,0.11900000000000001,g
17.792907819005933,0.12,g
17.795552807792127,0.121,g
17.7981869036613,0.122,g
17.800810523438326,0.123,g
17.803424072343955,0.124,g
17.806027943085923,0.125,g
17.808622515045247,0.126,g
17.811208153643005,0.127,g
17.81378520984231,0.128,g
17.816354019740135,0.129,g
17.818914904330832,0.13,g
17.82146816938871,0.131,g
17.824014105450505,0.132,g
17.82655298791041,0.133,g
17.829085077243857,0.134,g
17.831610619305824,0.135,g
17.834129845746624,0.136,g
17.836642974462556,0.137,g
17.839150210164888,0.138,g
17.8416517449791,0.139,g
17.84414775914774,0.14,g
17.846638421684766,0.14100000000000001,g
17.84912389115495,0.14200000000000002,g
