Mag,Phase,Band
16.989103230933395,0.0,g
16.989723647364027,0.001,g
16.99034277637518,0.002,g
16.990960627582886,0.003,g
16.99157721047608,0.004,g
16.99219253440479,0.005,g
16.992806608586605,0.006,g
16.993419442094943,0.007,g
16.99403104384739,0.008,g
16.994641422610194,0.009000000000000001,g
16.99525058699471,0.01,g
16.99585854543384,0.011,g
16.99646530619663,0.012,g
16.997070877374806,0.013000000000000001,g
16.99767526687145,0.014,g
16.99827848240958,0.015,g
16.99888053151097,0.016,g
16.999481421504786,0.017,g
17.000081159516427,0.018000000000000002,g
17.000679752456485,0.019,g
17.001277207027446,0.02,g
17.001873529712732,0.021,g
17.0024687267658,0.022,g
17.00306280421699,0.023,g
17.0036557678627,0.024,g
17.00424762325472,0.025,g
17.004838375707116,0.026000000000000002,g
17.00542803028372,0.027,g
17.006016591795365,0.028,g
17.0066040647953,0.029,g
17.007190453576506,0.03,g
17.007775762159515,0.031,g
17.0083599942995,0.032,g
17.008943153476096,0.033,g
17.009525242883342,0.034,g
17.010106265436907,0.035,g
17.01068622376413,0.036000000000000004,g
17.011265120194164,0.037,g
17.01184295676534,0.038,g
17.012419735215428,0.039,g
17.01299545697203,0.04,g
17.01357012316005,0.041,g
17.014143734592196,0.042,g
17.01471629175959,0.043000000000000003,g
17.015287794839438,0.044,g
17.01585824368382,0.045,g
17.016427637818097,0.046,g
17.016995976437432,0.047,g
17.01756325840526,0.048,g
17.018129482242504,0.049,g
17.018694646135536,0.05,g
17.01925874792739,0.051000000000000004,g
17.01982178510911,0.052000000000000005,g
17.020383754829698,0.053,g
17.0209446538784,0.054,g
17.02150447869471,0.055,g
17.022063225360057,0.056,g
17.022620889589607,0.057,g
17.02317746674061,0.058,g
17.02373295180434,0.059000000000000004,g
17.024287339398157,0.06,g
17.024840623774022,0.061,g
17.025392798810724,0.062,g
17.025943858004393,0.063,g
17.026493794484445,0.064,g
17.027042600995216,0.065,g
17.02759026989579,0.066,g
17.02813679316709,0.067,g
17.028682162404657,0.068,g
17.029226368811496,0.069,g
17.0297694032072,0.07,g
17.03031125602096,0.07100000000000001,g
17.030851917284735,0.07200000000000001,g
17.031391376642556,0.073,g
17.03192962334381,0.074,g
17.032466646236728,0.075,g
17.033002433777828,0.076,g
17.03353697402554,0.077,g
17.034070254633956,0.078,g
17.03460226286249,0.079,g
17.035132985569753,0.08,g
17.035662409205912,0.081,g
17.03619051982945,0.082,g
17.036717303090946,0.083,g
17.037242744234383,0.084,g
17.03776682810544,0.085,g
17.038289539145996,0.08600000000000001,g
17.03881086138878,0.08700000000000001,g
17.039330778467598,0.088,g
17.0398492736121,0.089,g
17.04036632964282,0.09,g
17.040881928983172,0.091,g
17.04139605364618,0.092,g
17.04190868524664,0.093,g
17.042419804996438,0.094,g
17.04292939370007,0.095,g
17.043437431765305,0.096,g
17.043943899198823,0.097,g
17.044448775602017,0.098,g
17.044952040180206,0.099,g
17.045453671745175,0.1,g
17.045953648701374,0.101,g
17.046451949063588,0.10200000000000001,g
17.046948550451503,0.10300000000000001,g
17.047443430086165,0.10400000000000001,g
17.04793656480116,0.105,g
17.0484279310392,0.106,g
17.048917504848852,0.107,g
17.04940526189592,0.108,g
17.0498911774603,0.109,g
17.050375226433072,0.11,g
17.050857383328005,0.111,g
17.051337622278748,0.112,g
17.051815917036222,0.113,g
17.05229224098028,0.114,g
17.052766567117214,0.115,g
17.053238868077482,0.116,g
17.05370911612593,0.117,g
17.05417728316582,0.11800000000000001,g
17.054643340727587,0.11900000000000001,g
17.055107259986933,0.12,g
17.055569011761442,0.121,g
17.05602856650892,0.122,g
17.056485894339456,0.123,g
17.05694096501384,0.124,g
17.05739374794229,0.125,g
17.057844212196564,0.126,g
17.058292326508766,0.127,g
17.058738059270283,0.128,g
17.05918137854557,0.129,g
17.059622252063914,0.13,g
17.06006064723329,0.131,g
17.060496531139613,0.132,g
17.060929870546246,0.133,g
17.061360631905057,0.134,g
17.06178878136021,0.135,g
17.062214284746517,0.136,g
17.06263710759363,0.137,g
17.06305721513848,0.138,g
17.063474572318437,0.139,g
17.063889143785282,0.14,g
17.064300893905386,0.14100000000000001,g
17.064709786760158,0.14200000000000002,g
17.06511578615869,0.14300000000000002,g
17.065518855638228,0.14400000000000002,g
17.06591895846493,0.145,g
17.066316057646542,0.146,g
17.06671011593318,0.147,g
17.06710109581838,0.148,g
17.06748895955182,0.149,g
17.067873669140372,0.15,g
17.06825518634948,0.151,g
17.068633472714613,0.152,g
17.069008489547635,0.153,g
17.069380197930954,0.154,g
17.069748558735267,0.155,g
17.07011353261994,0.156,g
17.07047508003494,0.157,g
17.070833161233587,0.158,g
17.071187736274464,0.159,g
17.071538765023636,0.16,g
17.071886207167367,0.161,g
17.072230022214306,0.162,g
17.07257016949802,0.163,g
17.072906608189623,0.164,g
17.07323929730028,0.165,g
17.073568195683997,0.166,g
17.073893262051257,0.167,g
17.074214454966484,0.168,g
17.07453173286172,0.169,g
17.07484505403751,0.17,g
17.075154376675336,0.171,g
17.075459658833697,0.17200000000000001,g
